Rank	Player	Wins	Losses	yElo
346	Eduardo Ribeiro	7	6	1448.3
347	Jaime Faria	23	29	1447.1
348	Joao Lucas Reis Da Silva	33	30	1446.2
349	Stefan Dostanic	4	8	1445.5
350	David Jorda Sanchis	10	9	1445.3
351	Maxim Mrva	17	18	1444.4
352	Stuart Parker	10	9	1444.3
353	Sascha Gueymard Wayenburg	22	29	1444.2
354	Tibo Colson	4	5	1444.1
355	Maks Kasnikowski	7	9	1443.8
356	Timofey Skatov	27	31	1443.5
357	Gauthier Onclin	21	28	1443.1
358	Gabriele Piraino	4	7	1440.8
359	Facundo Mena	18	24	1440.4
360	Samir Banerjee	8	7	1440.3
361	Joshua Sheehy	3	4	1438.2
362	Yasutaka Uchiyama	18	27	1437.9
363	Karue Sell	10	15	1436.3
364	Andre Ilagan	19	21	1436.0
365	Filip Peliwo	3	4	1435.6
366	Murkel Alejandro Dellien Velasco	30	33	1435.4
367	Marc Andrea Huesler	23	26	1432.1
368	Lilian Marmousez	4	4	1431.9
369	Oleg Prihodko	10	18	1431.6
370	Juan Manuel La Serna	6	5	1431.3
371	Max Hans Rehberg	8	9	1431.3
372	Dennis Novak	8	7	1430.8
373	Dimitar Kuzmanov	30	27	1430.4
374	Fajing Sun	15	19	1430.0
375	Gianluca Mager	4	5	1429.8
376	Pavel Kotov	9	21	1429.7
377	Pedro Boscardin Dias	18	19	1429.4
378	Nicolas Kicker	21	21	1429.1
379	Philip Henning	9	8	1428.9
380	Ioannis Xilas	7	6	1428.9
381	Christopher Eubanks	17	29	1428.6
382	Mika Brunold	19	21	1428.1
383	Edward Winter	8	8	1427.3
384	Daniel Masur	7	11	1426.8
385	Jan Kumstat	3	5	1424.5
386	Enzo Couacaud	7	10	1424.4
387	Ricardas Berankis	12	11	1423.7
388	Juan Bautista Torres	18	28	1423.2
389	Rio Noguchi	29	28	1422.2
390	Hernan Casanova	11	11	1421.7
391	Mathys Erhard	23	22	1420.3
392	Charlie Robertson	4	5	1417.1
393	Carlo Alberto Caniato	5	6	1416.3
394	Filip Cristian Jianu	25	35	1416.0
395	Viktor Durasovic	23	27	1414.2
396	Charles Broom	8	13	1414.1
397	Juan Pablo Ficovich	37	33	1413.3
398	Aziz Dougaz	14	18	1413.1
399	Arthur Gea	17	22	1413.1
400	Kaylan Bigun	4	8	1411.3
401	James Watt	4	5	1410.6
402	Micah Braswell	3	5	1410.3
403	Ivan Gakhov	19	21	1409.2
404	Hady Habib	24	28	1408.0
405	Luca Preda	3	6	1407.5
406	Enrico Dalla Valle	12	17	1407.0
407	Alexey Vatutin	8	16	1405.5
408	Geoffrey Blancaneaux	24	28	1405.4
409	Luca Potenza	6	7	1405.1
410	Antoine Escoffier	13	21	1404.7
411	Alex Martinez	3	5	1404.6
412	Christoph Negritu	17	25	1404.0
413	Pietro Fellin	4	5	1403.6
414	Gabi Adrian Boitan	8	9	1403.1
415	Tsung Hao Huang	4	8	1402.9
416	Pedro Cachin	4	9	1402.0
417	Henry Searle	11	12	1401.8
418	Eero Vasa	4	8	1401.4
419	Thiago Seyboth Wild	14	27	1400.9
420	Denis Yevseyev	17	30	1399.6
421	Andres Martin	22	20	1399.2
422	Petr Bar Biryukov	9	14	1397.9
423	Giles Hussey	14	14	1396.7
424	Thomas Faurel	3	5	1394.5
425	Fabio Fognini	4	15	1394.4
426	Pedro Sakamoto	9	10	1393.5
427	Andrea Picchione	5	9	1393.4
428	Alex Rybakov	10	14	1392.8
429	Taro Daniel	11	30	1391.5
430	Benjamin Hassan	28	33	1390.9
431	Daniel Dutra Da Silva	11	20	1390.8
432	Andres Andrade	18	22	1390.7
433	Blake Ellis	7	8	1390.6
434	Yuta Shimizu	21	24	1390.3
435	Renta Tokuda	6	8	1390.3
436	Dan Martin	7	9	1389.5
437	Matteo Martineau	20	28	1388.8
438	Valerio Aboian	3	4	1388.6
439	Neil Oberleitner	9	13	1387.6
440	Andres Santamarta Roig	4	5	1386.7
441	Diego Dedura Palomero	8	18	1383.9
442	Taha Baadi	5	7	1382.5
443	Robin Bertrand	11	18	1380.6
444	Alfredo Perez	14	18	1380.2
445	Federico Arnaboldi	15	27	1379.4
446	Yusuke Takahashi	6	7	1376.8
447	Jie Cui	14	19	1376.0
448	Mees Rottgering	6	10	1375.8
449	Miguel Damas	5	8	1372.1
450	Nikolas Sanchez Izquierdo	15	20	1371.7
451	Peter Bertran	3	5	1369.3
452	Daniel Michalski	12	17	1369.2
453	Paul Jubb	4	13	1369.0
454	Max Houkes	15	19	1368.4
455	Radu Albot	14	29	1368.2
456	Garrett Johns	12	18	1365.8
457	Daniel Milavsky	4	6	1365.8
458	Philip Sekulic	8	14	1365.5
459	Rodrigo Pacheco Mendez	20	31	1365.2
460	Florent Bax	5	7	1365.0
461	Maxime Chazal	3	8	1364.4
462	Alexander Donski	3	5	1364.1
463	Patrick Zahraj	17	25	1363.6
464	Oleksandr Ovcharenko	3	6	1361.7
465	Leo Borg	4	8	1361.2
466	Jake Delaney	3	5	1359.2
467	Nicolas Alvarez Varona	13	18	1359.0
468	Maximus Jones	19	20	1358.7
469	Tyler Zink	16	22	1358.5
470	Santiago Fa Rodriguez Taverna	24	28	1356.7
471	Naoki Nakagawa	3	8	1354.4
472	Sergey Fomin	4	7	1354.3
473	Andrew Fenty	4	7	1351.7
474	Luciano Emanuel Ambrogi	7	15	1351.6
475	Govind Nanda	5	11	1351.3
476	Max Alcala Gurri	4	11	1350.5
477	Matheus Pucinelli De Almeida	22	22	1348.3
478	Michael Vrbensky	3	8	1347.7
479	Rodrigo Alujas	3	5	1346.6
480	Vadym Ursu	4	9	1344.2
481	Carlos Maria Zarate	3	5	1343.6
482	Maximilian Neuchrist	8	10	1343.2
483	Raul Brancaccio	6	11	1342.5
484	Tung Lin Wu	14	26	1342.3
485	Lukas Pokorny	6	9	1342.2
486	Guido Ivan Justo	11	16	1342.1
487	Hiroki Moriya	7	11	1341.7
488	San Hui Sin	4	8	1341.5
489	Gregoire Barrere	8	16	1341.2
490	Max Basing	3	5	1341.1
491	Hyeon Chung	7	11	1338.7
492	Giovanni Fonio	5	12	1338.5
493	Sasi Kumar Mukund	3	5	1337.8
494	Dmitry Popko	22	30	1337.6
495	Olaf Pieczkowski	3	7	1337.1
496	Patrick Maloney	10	16	1335.3
497	Dali Blanch	9	9	1334.9
498	Robert Strombachs	7	9	1333.5
499	Cezar Cretu	4	7	1333.5
500	Dominik Kellovsky	4	7	1332.8
501	Pol Martin Tiffon	12	20	1332.6
502	Cannon Kingsley	6	10	1332.1
503	Maxime Janvier	7	19	1331.9
504	Pedro Araujo	3	10	1331.2
505	Aleksandre Bakshi	6	9	1330.3
506	Franco Roncadelli	15	19	1329.5
507	Karl Poling	3	7	1329.5
508	Jacopo Berrettini	9	10	1328.9
509	Roberto Cid	5	6	1328.1
510	Gonzalo Villanueva	15	24	1327.9
511	Matias Soto	17	25	1327.5
512	Ergi Kirkin	8	12	1325.1
513	Joao Eduardo Schiessl	3	5	1323.4
514	Alexandr Binda	6	8	1321.8
